"detector_id","detector_type","detector_status","detector_direction","detector_movement","location_name","atd_location_id","signal_id","created_date","modified_date","ip_comm_status","comm_status_datetime_utc","location_latitude","location_longitude","LOCATION"
"6,335","VIDEO","OK","NORTHBOUND","THRU / LEFT TURN, THRU / RIGHT TURN"," ENFIELD RD / HARTFORD RD","LOC16-001045","213","2018 Mar 23 12:00:00 AM","2025 Apr 29 03:29:00 PM",,,,,"POINT (-97.761864 30.284676)"
"580","LOOP","OK","WESTBOUND","LEFT TURN","FM 2222 RD / PARK CENTRE ","LOC16-004495","913",,"2023 Oct 18 06:13:00 PM",,,,,"POINT (-97.813118 30.382252)"
"5,887","LOOP","OK","WESTBOUND","LEFT TURN, THRU / RIGHT TURN"," BRODIE LN / BEN GARZA LN","LOC16-003965","806","2017 Sep 11 12:00:00 AM","2024 Apr 26 04:52:00 PM",,,,,"POINT (-97.826653 30.219816)"
"42","LOOP","OK","WESTBOUND","LEFT TURN"," LAMAR BLVD / MARTIN LUTHER KING JR BLVD","LOC16-000545","110",,"2023 Dec 22 02:36:00 PM",,,,,"POINT (-97.752075 30.283602)"
"6,882","GRIDSMART","REMOVED","NORTHBOUND","LEFT TURN, THRU / RIGHT TURN, THRU ONLY"," AIRPORT BLVD / 51ST ST","LOC16-000845","170","2019 May 21 12:00:00 AM","2025 Aug 27 03:16:00 PM",,,,,"POINT (-97.71534 30.312069)"
"1,564","LOOP","REMOVED","SOUTHBOUND","LEFT TURN","US 290 HWY SVRD / PARMER LN","LOC16-004855","993","2017 Jun 28 12:00:00 AM","2022 Dec 29 12:26:00 PM",,,,,"POINT (-97.581018 30.344859)"
"2,760","LOOP","OK","EASTBOUND","THRU / RIGHT TURN","US 290 HWY SVRD / MOPAC EXPY SVRD","LOC16-003885","790","2017 Jun 23 12:00:00 AM","2023 Dec 29 01:18:00 PM",,,,,"POINT (-97.82412 30.234686)"
"3,319","LOOP","REMOVED","EASTBOUND","LEFT TURN"," HOWARD LN / 35 SVRD","LOC16-003415","693","2017 Jun 22 12:00:00 AM","2021 Dec 29 12:23:00 AM",,,,,"POINT (-97.67189 30.424465)"
"1,949","LOOP","REMOVED","SOUTHBOUND","LEFT TURN","FM 620 RD / LAKE CREEK PKWY","LOC16-004475","908","2017 Jun 26 12:00:00 AM","2022 Dec 14 04:26:00 PM",,,,,"POINT (-97.816017 30.462158)"
"2,336","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN"," CAPITAL OF TEXAS HWY / MOPAC EXPY SVRD","LOC16-004200","854","2017 Jun 26 12:00:00 AM","2021 Dec 21 09:13:00 PM",,,,,"POINT (-97.733803 30.38974)"
"394","LOOP","REMOVED","NORTHBOUND","LEFT TURN"," BARTON SPRINGS RD / DAWSON RD","LOC16-001150","234",,"2020 Nov 24 03:03:00 PM",,,,,"POINT (-97.755707 30.260344)"
"6,676","GRIDSMART","REMOVED","NORTHBOUND","LEFT TURN, RIGHT TURN","FM 2222 RD / SITIO DEL RIO BLVD","LOC16-004550","928","2019 Feb 06 12:00:00 AM","2021 Jun 24 07:49:00 PM",,,,,"POINT (-97.841827 30.392931)"
"3,259","LOOP","OK","WESTBOUND","LEFT TURN","FM 969 RD / DECKER LN","LOC16-003460","702","2017 Jun 23 12:00:00 AM","2025 Oct 13 09:01:00 PM",,,,,"POINT (-97.637276 30.276794)"
"2,650","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN"," AVERY RANCH BLVD / MORGAN CREEK DR","LOC16-003995","812","2017 Jun 23 12:00:00 AM","2022 Aug 26 07:17:00 PM",,,,,"POINT (-97.767067 30.498346)"
"4,640","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN"," ST JOHNS AVE / 35 SVRD","LOC16-002915","594","2017 Jun 16 12:00:00 AM","2020 Jun 23 08:37:00 PM",,,,,"POINT (-97.704529 30.332954)"
"3,130","VIDEO","OK","WESTBOUND","THRU / RIGHT TURN"," 1ST ST / RADAM LN","LOC16-003585","727","2017 Jun 23 12:00:00 AM","2024 Dec 10 09:51:00 PM",,,,,"POINT (-97.770882 30.224268)"
"6,859","GRIDSMART","BROKEN","EASTBOUND","RIGHT TURN, THRU ONLY"," HOWARD LN / 35 SVRD","LOC16-003410","692","2019 May 02 12:00:00 AM","2024 Nov 08 01:51:00 PM",,,,,"POINT (-97.671188 30.424255)"
"5,066","LOOP","OK","WESTBOUND","LEFT TURN"," AIRPORT BLVD / WILSHIRE BLVD","LOC16-002740","559","2017 Jun 15 12:00:00 AM","2025 Sep 04 07:43:00 PM",,,,,"POINT (-97.708878 30.297857)"
"98","LOOP","REMOVED","WESTBOUND","THRU / RIGHT TURN"," MOPAC EXPY / SLAUGHTER LN","LOC16-003875","788",,"2021 Sep 21 06:49:00 PM",,,,,"POINT (-97.866875 30.200995)"
"1,155","VIDEO","OK - MINOR ISSUE","SOUTHBOUND","LEFT TURN, THRU / RIGHT TURN"," LAKE AUSTIN BLVD / VETERANS DR","LOC16-003685","748",,"2025 Apr 24 10:36:00 PM",,,,,"POINT (-97.771866 30.277687)"
"9","VIDEO","OK","EASTBOUND","LEFT TURN, THRU / RIGHT TURN"," LAMAR BLVD / TREADWELL ST","LOC16-000625","126",,"2025 Apr 03 09:10:00 PM",,,,,"POINT (-97.76149 30.256052)"
"3,180","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," ANDERSON LN SVRD / NORTHCREST BLVD","LOC16-003530","716","2017 Jun 23 12:00:00 AM","2021 Nov 24 01:40:00 PM",,,,,"POINT (-97.705383 30.3437)"
"886","LOOP","OK","NORTHBOUND","LEFT TURN"," 35TH ST / JACKSON AVE","LOC16-000530","107",,"2023 Dec 22 05:06:00 PM",,,,,"POINT (-97.75589 30.308735)"
"62","VIDEO","OK","NORTHBOUND","THRU / RIGHT TURN"," LAMAR BLVD / LAMAR BLVD SVRD (BRODIE OAKS SHOPPING CENTER)","LOC16-000910","184",,"2025 Jan 06 11:54:00 PM",,,,,"POINT (-97.792587 30.23626)"
"6,477","VIDEO","OK","SOUTHBOUND","THRU / LEFT TURN"," CESAR CHAVEZ ST / WEST AVE","LOC16-006840","1036","2018 Jul 02 12:00:00 AM","2025 Feb 06 07:19:00 PM",,,,,"POINT (-97.752357 30.265623)"
"1,192","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," MARTIN LUTHER KING JR BLVD / CEDAR AVE","LOC16-000995","201",,"2022 May 05 07:44:00 PM",,,,,"POINT (-97.714287 30.280956)"
"1,616","VIDEO","OK","NORTHBOUND","LEFT TURN, THRU / RIGHT TURN"," MANOR RD / CHERRYWOOD RD","LOC16-004815","985","2017 Jun 28 12:00:00 AM","2025 Feb 25 08:24:00 PM",,,,,"POINT (-97.718188 30.284456)"
